LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
WEST NASSAU COUNTY HIGH SCHOOL (CALLAHAN) NASSAU 4 3 0 0 1 3 1 0,WEST NASSAU COUNTY HIGH SCHOOL (CALLAHAN),NASSAU,,,,,,,,,4,3,0,0,1,3,1,0
WILDLIGHT ELEMENTARY (YULEE) NASSAU 1 0 1 0 0 1 0 0 5 4 1 0 0 4 1 0,WILDLIGHT ELEMENTARY (YULEE),NASSAU,1,0,1,0,0,1,0,0,5,4,1,0,0,4,1,0
YULEE ELEMENTARY SCHOOL (YULEE) NASSAU 3 3 0 0 0 3 0 0,YULEE ELEMENTARY SCHOOL (YULEE),NASSAU,,,,,,,,,3,3,0,0,0,3,0,0
YULEE HIGH SCHOOL (YULEE) NASSAU 10 10 0 0 0 8 2 0,YULEE HIGH SCHOOL (YULEE),NASSAU,,,,,,,,,0,0,0,0,0,8,2,0
YULEE MIDDLE SCHOOL (YULEE) NASSAU 2 0 0 0 2 1 1 0,YULEE MIDDLE SCHOOL (YULEE),NASSAU,,,,,,,,,2,0,0,0,2,1,1,0
YULEE PRIMARY SCHOOL (YULEE) NASSAU 1 0 0 0 1 1 0 0,YULEE PRIMARY SCHOOL (YULEE),NASSAU,,,,,,,,,1,0,0,0,1,1,0,0
ADDIE R. LEWIS SCHOOL (VALPARAISO) OKALOOSA 2 2 0 0 0 2 0 0 3 2 0 0 1 3 0 0,ADDIE R. LEWIS SCHOOL (VALPARAISO),OKALOOSA,2,2,0,0,0,2,0,0,3,2,0,0,1,3,0,0
ANNETTE P. EDWINS ELEMENTARY SCHOOL (FORT WALTON BEACH) OKALOOSA 1 0 0 0 1 1 0 0,ANNETTE P. EDWINS ELEMENTARY SCHOOL (FORT WALTON BEACH),OKALOOSA,,,,,,,,,1,0,0,0,1,1,0,0
ANTIOCH ELEMENTARY SCHOOL (CRESTVIEW) OKALOOSA 1 0 0 0 1 1 0 0,ANTIOCH ELEMENTARY SCHOOL (CRESTVIEW),OKALOOSA,,,,,,,,,1,0,0,0,1,1,0,0
BAKER SCHOOL (BAKER) OKALOOSA 1 1 0 0 0 1 0 0 7 6 0 0 1 7 0 0,BAKER SCHOOL (BAKER),OKALOOSA,1,1,0,0,0,1,0,0,7,6,0,0,1,7,0,0
C. W. RUCKEL MIDDLE SCHOOL (NICEVILLE) OKALOOSA 3 2 1 0 0 3 0 0 4 3 1 0 0 4 0 0,C. W. RUCKEL MIDDLE SCHOOL (NICEVILLE),OKALOOSA,3,2,1,0,0,3,0,0,4,3,1,0,0,4,0,0
CHOCTAWHATCHEE SENIOR HIGH SCHOOL (FORT WALTON BEACH) OKALOOSA 8 7 0 0 1 6 2 0 32 27 2 0 3 29 3 0,CHOCTAWHATCHEE SENIOR HIGH SCHOOL (FORT WALTON BEACH),OKALOOSA,8,7,0,0,1,6,2,0,32,27,2,0,3,29,3,0
CLIFFORD MEIGS MIDDLE SCHOOL (SHALIMAR) OKALOOSA 2 1 1 0 0 2 0 0,CLIFFORD MEIGS MIDDLE SCHOOL (SHALIMAR),OKALOOSA,,,,,,,,,2,1,1,0,0,2,0,0
CRESTVIEW HIGH SCHOOL (CRESTVIEW) OKALOOSA 3 2 0 0 1 2 1 0 7 6 0 0 1 3 3 1,CRESTVIEW HIGH SCHOOL (CRESTVIEW),OKALOOSA,3,2,0,0,1,2,1,0,7,6,0,0,1,3,3,1
DAVIDSON MIDDLE SCHOOL (CRESTVIEW) OKALOOSA 1 1 0 0 0 0 1 0 4 4 0 0 0 2 2 0,DAVIDSON MIDDLE SCHOOL (CRESTVIEW),OKALOOSA,1,1,0,0,0,0,1,0,4,4,0,0,0,2,2,0
DESTIN ELEMENTARY SCHOOL (DESTIN) OKALOOSA 9 4 1 0 4 8 1 0,DESTIN ELEMENTARY SCHOOL (DESTIN),OKALOOSA,,,,,,,,,9,4,1,0,4,8,1,0
DESTIN MIDDLE SCHOOL (DESTIN) OKALOOSA 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,DESTIN MIDDLE SCHOOL (DESTIN),OKALOOSA,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
